shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
1,131,10,"[6, 3]","[10, 9]",19,"[[6, 3, 6, 10]]",[25],"[['H', 'H']]",-10,-3,-1.0
18,204,10,"[10, 5]","[10, 6, 10]",26,"[[10, 5]]",[15],[['R']],6,1,-0.5
58,209,2,"[6, 8]","[2, 4, 11, 10]",17,"[[6, 8]]",[14],[['S']],7,1,-1.0
59,86,8,"[7, 3]","[8, 10]",18,"[[7, 3, 10]]",[20],[['D']],4,2,2.0
66,200,6,"[10, 5]","[6, 2, 2, 4, 7]",21,"[[10, 5]]",[15],[['S']],8,2,-1.0
96,362,11,"[2, 7]","[11, 5, 6, 7]",19,"[[2, 7, 8]]",[17],"[['N', 'H', 'S']]",2,0,-1.0
99,115,9,"[6, 10]","[9, 4, 9]",22,"[[6, 10]]",[16],[['R']],-5,-2,-0.5
105,308,10,"[10, 10]","[10, 11]",BJ,"[[10, 10]]",[20],[[]],-11,-1,-1.0
124,208,6,"[10, 2]","[6, 10, 8]",24,"[[10, 2]]",[12],[['S']],-17,-4,1.0
158,292,10,"[5, 10]","[10, 11]",BJ,"[[5, 10]]",[15],[[]],7,1,-1.0
192,96,3,"[9, 10]","[3, 4, 7, 4]",18,"[[9, 10]]",[19],[['S']],-4,-2,1.0
205,416,5,"[5, 11]","[5, 2, 3, 7]",17,"[[5, 11, 3]]",[19],[['D']],2,0,2.0
208,269,10,"[10, 11]","[10, 10]",20,"[[10, 11]]",['BJ'],[['S']],6,1,1.5
213,82,8,"[10, 5]","[8, 5, 2, 2]",17,"[[10, 5, 7]]",[22],[['H']],-5,-3,-1.0
306,287,3,"[5, 6]","[3, 4, 11]",18,"[[5, 6, 6]]",[17],[['D']],7,1,-2.0
311,208,2,"[4, 9]","[2, 4, 3, 10]",19,"[[4, 9]]",[13],[['S']],-2,0,-1.0
314,347,4,"[10, 8]","[4, 4, 11]",19,"[[10, 8]]",[18],[['S']],15,2,-1.0
321,286,10,"[4, 2]","[10, 6, 3]",19,"[[4, 2, 3, 7, 2]]",[18],"[['H', 'H', 'H', 'S']]",-3,0,-1.0
332,291,5,"[8, 10]","[5, 11, 2]",18,"[[8, 10]]",[18],[['S']],-2,0,0.0
358,107,6,"[7, 4]","[6, 7, 2, 5]",20,"[[7, 4, 8]]",[19],[['D']],-10,-4,-2.0
372,391,4,"[11, 3]","[4, 7, 9]",20,"[[11, 3, 2, 10]]",[16],"[['H', 'H', 'S']]",11,1,-1.0
379,341,8,"[10, 10]","[8, 5, 10]",23,"[[10, 10]]",[20],[['S']],2,0,1.0
394,284,3,"[3, 9]","[3, 10, 10]",23,"[[3, 9, 7]]",[19],"[['H', 'S']]",3,0,1.0
415,383,8,"[5, 10]","[8, 11]",19,"[[5, 10, 8]]",[23],[['H']],-1,0,-1.0
432,165,5,"[10, 5]","[5, 3, 3, 10]",21,"[[10, 5]]",[15],[['S']],-4,-1,-1.0
441,340,5,"[5, 5]","[5, 9, 11, 4]",19,"[[5, 5, 2]]",[12],[['D']],-9,-1,-2.0
473,86,10,"[7, 10]","[10, 9]",19,"[[7, 10]]",[17],[['S']],15,9,-1.0
477,393,10,"[3, 8]","[10, 7]",17,"[[3, 8, 10]]",[21],[['D']],-3,0,2.0
500,406,6,"[6, 10]","[6, 10, 9]",25,"[[6, 10]]",[16],[['S']],-3,0,1.0
503,157,10,"[10, 4]","[10, 3, 2, 2]",17,"[[10, 4, 7]]",[21],"[['H', 'S']]",3,0,1.0
535,188,8,"[2, 8]","[8, 10]",18,"[[2, 8, 10]]",[20],[['D']],-13,-3,2.0
545,228,10,"[4, 6]","[10, 9]",19,"[[4, 6, 6, 8]]",[24],"[['H', 'H']]",2,0,-1.0
551,305,7,"[11, 2]","[7, 6, 5]",18,"[[11, 2, 8]]",[21],"[['H', 'S']]",8,1,1.0
562,410,10,"[2, 10]","[10, 10]",20,"[[2, 10, 11, 10]]",[23],"[['H', 'H']]",0,0,-1.0
569,152,10,"[3, 10]","[10, 9]",19,"[[3, 10, 6]]",[19],"[['H', 'S']]",0,0,0.0
578,125,8,"[9, 9]","[8, 3, 8]",19,"[[9, 11], [9, 5, 6]]","[20, 20]","[['P', 'S'], ['H', 'S']]",0,0,2.0
602,277,9,"[4, 10]","[9, 3, 8]",20,"[[4, 10, 7]]",[21],"[['H', 'S']]",8,1,1.0
613,397,5,"[6, 4]","[5, 9, 10]",24,"[[6, 4, 10]]",[20],[['D']],4,0,2.0
617,238,2,"[2, 10]","[2, 6, 9]",17,"[[2, 10, 10]]",[22],[['H']],-5,-1,-1.0
622,178,11,"[10, 3]","[11, 10]",BJ,"[[10, 3]]",[13],[['N']],-4,-1,-1.0
646,296,10,"[10, 2]","[10, 9]",19,"[[10, 2, 10]]",[22],[['H']],-12,-2,-1.0
647,111,3,"[3, 10]","[3, 6, 3, 10]",22,"[[3, 10]]",[13],[['S']],-10,-4,1.0
653,343,3,"[6, 3]","[3, 11, 2, 6, 6]",18,"[[6, 3, 4]]",[13],[['D']],6,0,-2.0
658,131,4,"[4, 10]","[4, 2, 6, 10]",22,"[[4, 10]]",[14],[['S']],-16,-6,1.0
691,113,3,"[2, 10]","[3, 10, 10]",23,"[[2, 10, 4]]",[16],"[['H', 'S']]",-4,-1,1.0
694,405,10,"[6, 5]","[10, 4, 4]",18,"[[6, 5, 3]]",[14],[['D']],1,0,-2.0
702,354,6,"[9, 8]","[6, 3, 8]",17,"[[9, 8]]",[17],[['S']],9,1,0.0
719,92,2,"[9, 10]","[2, 11, 3, 10, 10]",26,"[[9, 10]]",[19],[['S']],16,9,1.0
726,174,9,"[10, 3]","[9, 9]",18,"[[10, 3, 7]]",[20],"[['H', 'S']]",-4,-1,1.0
781,95,4,"[9, 11]","[4, 10, 7]",21,"[[9, 11]]",[20],[['S']],6,3,-1.0
785,309,8,"[11, 8]","[8, 4, 10]",22,"[[11, 8]]",[19],[['S']],-11,-1,1.0
807,98,5,"[11, 11]","[5, 9, 10]",24,"[[11, 4], [11, 10]]","[15, 21]","[['P'], []]",4,2,2.0
824,225,10,"[7, 10]","[10, 10]",20,"[[7, 10]]",[17],[['S']],-9,-2,-1.0
836,132,11,"[6, 8]","[11, 2, 3, 3]",19,"[[6, 8, 9]]",[23],"[['N', 'H']]",1,0,-1.0
839,198,3,"[8, 9]","[3, 8, 11, 9]",21,"[[8, 9]]",[17],[['S']],-12,-3,-1.0
851,288,3,"[11, 5]","[3, 11, 10, 10]",24,"[[11, 5, 2]]",[18],"[['H', 'S']]",11,1,1.0
877,378,10,"[9, 10]","[10, 11]",BJ,"[[9, 10]]",[19],[[]],-3,0,-1.0
882,127,4,"[2, 10]","[4, 10, 4]",18,"[[2, 10]]",[12],[['S']],-3,-1,-1.0
884,220,8,"[2, 11]","[8, 10]",18,"[[2, 11, 4, 8, 5]]",[20],"[['H', 'H', 'H', 'S']]",11,2,1.0
912,383,4,"[7, 3]","[4, 10, 7]",21,"[[7, 3, 7]]",[17],[['D']],1,0,-2.0
923,300,5,"[4, 8]","[5, 10, 2]",17,"[[4, 8]]",[12],[['S']],-17,-2,-1.0
933,416,10,"[10, 9]","[10, 10]",20,"[[10, 9]]",[19],[['S']],-2,0,-1.0
935,99,10,"[7, 10]","[10, 7]",17,"[[7, 10]]",[17],[['S']],-3,-1,0.0
960,312,3,"[10, 11]","[3, 10, 3, 3]",19,"[[10, 11]]",['BJ'],[['S']],-10,-1,1.5
1005,411,6,"[10, 5]","[6, 10, 8]",24,"[[10, 5]]",[15],[['S']],1,0,1.0
1017,330,10,"[11, 10]","[10, 8]",18,"[[11, 10]]",['BJ'],[['S']],-11,-1,1.5
1023,239,5,"[7, 9]","[5, 3, 10]",18,"[[7, 9]]",[16],[['S']],-4,0,-1.0
1061,308,6,"[10, 3]","[6, 10, 8]",24,"[[10, 3]]",[13],[['S']],-8,-1,1.0
1088,262,2,"[11, 10]","[2, 3, 11, 5]",21,"[[11, 10]]",['BJ'],[['S']],14,2,1.5
1112,80,11,"[10, 6]","[11, 10]",BJ,"[[10, 6]]",[16],[['N']],2,1,-1.0
1118,225,3,"[6, 8]","[3, 11, 10, 9]",23,"[[6, 8]]",[14],[['S']],-11,-2,1.0
1138,301,5,"[10, 9]","[5, 11, 10, 10]",26,"[[10, 9]]",[19],[['S']],2,0,1.0
1158,347,9,"[5, 6]","[9, 10]",19,"[[5, 6, 6]]",[17],[['D']],-1,0,-2.0
1219,113,11,"[6, 4]","[11, 3, 5]",19,"[[6, 4, 10]]",[20],"[['N', 'H', 'S']]",-2,0,1.0
1226,91,4,"[11, 7]","[4, 10, 7]",21,"[[11, 7, 10]]",[18],[['D']],-3,-1,-2.0
1269,351,4,"[2, 6]","[4, 11, 2, 10]",17,"[[2, 6, 5]]",[13],"[['H', 'S']]",6,0,-1.0
1283,279,3,"[10, 8]","[3, 6, 7, 6]",22,"[[10, 8]]",[18],[['S']],-12,-2,1.0
1287,215,3,"[8, 11]","[3, 9, 9]",21,"[[8, 11]]",[19],[['S']],6,1,-1.0
1301,134,3,"[6, 10]","[3, 10, 6]",19,"[[6, 10]]",[16],[['S']],11,4,-1.0
1310,341,2,"[10, 10]","[2, 10, 4, 10]",26,"[[10, 10]]",[20],[['S']],0,0,1.0
1328,305,8,"[10, 6]","[8, 2, 9]",19,"[[10, 6, 9]]",[25],[['H']],-9,-1,-1.0
1340,310,3,"[10, 10]","[3, 3, 3, 7, 7]",23,"[[10, 10]]",[20],[['S']],-10,-1,1.0
1357,202,10,"[7, 10]","[10, 10]",20,"[[7, 10]]",[17],[['S']],1,0,-1.0
1376,287,10,"[10, 5]","[10, 2, 4, 4]",20,"[[10, 5]]",[15],[['R']],-4,0,-0.5
1382,211,4,"[9, 6]","[4, 10, 5]",19,"[[9, 6]]",[15],[['S']],-15,-3,-1.0
1388,385,10,"[10, 10]","[10, 4, 5]",19,"[[10, 10]]",[20],[['S']],4,0,1.0
1399,237,11,"[8, 4]","[11, 9]",20,"[[8, 4, 6]]",[18],"[['N', 'H', 'S']]",-8,-1,-1.0
1440,309,6,"[10, 10]","[6, 10, 10]",26,"[[10, 10]]",[20],[['S']],-5,0,1.0
1457,92,11,"[3, 9]","[11, 10]",BJ,"[[3, 9]]",[12],[['N']],-3,-1,-1.0
1476,131,3,"[2, 10]","[3, 11, 6]",20,"[[2, 10, 3]]",[15],"[['H', 'S']]",-9,-3,-1.0
1498,387,11,"[2, 4]","[11, 5, 4]",20,"[[2, 4, 5, 3, 5]]",[19],"[['N', 'H', 'H', 'H', 'S']]",6,0,-1.0
1503,294,10,"[10, 4]","[10, 10]",20,"[[10, 4, 10]]",[24],[['H']],-4,0,-1.0
1505,128,5,"[9, 7]","[5, 10, 3]",18,"[[9, 7]]",[16],[['S']],6,2,-1.0
1514,313,10,"[10, 7]","[10, 6, 5]",21,"[[10, 7]]",[17],[['S']],9,1,-1.0
1514,308,5,"[10, 11]","[5, 10, 10]",25,"[[10, 11]]",['BJ'],[['S']],9,1,1.5
1552,284,3,"[2, 3]","[3, 3, 8, 10]",24,"[[2, 3, 11, 2]]",[18],"[['H', 'H', 'S']]",21,3,1.0
1559,331,8,"[3, 4]","[8, 10]",18,"[[3, 4, 11]]",[18],"[['H', 'S']]",1,0,0.0
1564,284,10,"[6, 10]","[10, 3, 7]",20,"[[6, 10]]",[16],[['R']],10,1,-0.5
1593,132,10,"[5, 10]","[10, 5, 11, 4]",20,"[[5, 10]]",[15],[['R']],-2,0,-0.5
1594,350,7,"[10, 10]","[7, 7, 6]",20,"[[10, 10]]",[20],[['S']],-6,0,0.0
1607,347,10,"[5, 10]","[10, 2, 5]",17,"[[5, 10]]",[15],[['R']],9,1,-0.5
1610,139,2,"[10, 10]","[2, 2, 10, 4]",18,"[[10, 10]]",[20],[['S']],12,4,1.0
1636,412,11,"[9, 10]","[11, 4, 10, 11, 5]",21,"[[9, 10]]",[19],"[['N', 'S']]",0,0,-1.0
1637,82,3,"[2, 9]","[3, 7, 9]",19,"[[2, 9, 7]]",[18],[['D']],0,0,-2.0
1639,276,9,"[10, 6]","[9, 3, 10]",22,"[[10, 6]]",[16],[['R']],14,2,-0.5
1666,308,10,"[2, 3]","[10, 5, 2]",17,"[[2, 3, 8, 10]]",[23],"[['H', 'H']]",1,0,-1.0
1673,211,6,"[5, 3]","[6, 2, 4, 6]",18,"[[5, 3, 10]]",[18],"[['H', 'S']]",-4,0,0.0
1711,145,7,"[10, 5]","[7, 5, 10]",22,"[[10, 5, 5]]",[20],"[['H', 'S']]",-8,-2,1.0
1717,218,8,"[10, 3]","[8, 10]",18,"[[10, 3, 4]]",[17],"[['H', 'S']]",-1,0,-1.0
1789,409,7,"[5, 10]","[7, 5, 5]",17,"[[5, 10, 6]]",[21],"[['H', 'S']]",-3,0,1.0
1792,214,9,"[5, 7]","[9, 10]",19,"[[5, 7, 10]]",[22],[['H']],-13,-3,-1.0
1806,330,5,"[10, 2]","[5, 7, 7]",19,"[[10, 2]]",[12],[['S']],1,0,-1.0
1818,320,5,"[4, 10]","[5, 2, 10]",17,"[[4, 10]]",[14],[['S']],-12,-1,-1.0
1820,416,7,"[11, 10]","[7, 8, 2]",17,"[[11, 10]]",['BJ'],[['S']],0,0,1.5
1850,370,10,"[11, 6]","[10, 2, 7]",19,"[[11, 6, 4]]",[21],"[['H', 'S']]",1,0,1.0
1850,295,4,"[9, 9]","[4, 8, 5]",17,"[[9, 5], [9, 2, 5]]","[14, 16]","[['P', 'S'], ['D']]",6,1,-3.0
1861,177,7,"[3, 2]","[7, 10]",17,"[[3, 2, 10, 2]]",[17],"[['H', 'H', 'S']]",-8,-2,0.0
1870,209,11,"[10, 10]","[11, 5, 9, 6]",21,"[[10, 10]]",[20],"[['N', 'S']]",-9,-2,-1.0
1912,273,10,"[10, 2]","[10, 8]",18,"[[10, 2, 5]]",[17],"[['H', 'S']]",-8,-1,-1.0
1919,301,9,"[2, 10]","[9, 11]",20,"[[2, 10, 5]]",[17],"[['H', 'S']]",0,0,-1.0
1933,188,10,"[3, 8]","[10, 11]",BJ,"[[3, 8]]",[11],[[]],-12,-3,-1.0
